origin,destination,price,duration_minutes,airline,departure_time,arrival_time,stops,baggage,details
São Paulo,Miami,1540.88,650,AV,2026-02-04 02:40:00,2026-02-04 06:35:00,1,0 PC,"GRU->BOG (AV160), BOG->MIA (AV126)"
São Paulo,Miami,1540.88,690,AV,2026-02-04 07:35:00,2026-02-04 11:25:00,1,0 PC,"GRU->BOG (AV86), BOG->MIA (AV4)"
São Paulo,Miami,1540.88,705,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,1,0 PC,"GRU->BOG (AV184), BOG->MIA (AV8)"
São Paulo,Miami,1540.88,730,AV,2026-02-04 01:20:00,2026-02-04 05:15:00,1,0 PC,"GRU->BOG (AV248), BOG->MIA (AV126)"
São Paulo,Miami,1540.88,985,AV,2026-02-04 02:40:00,2026-02-04 06:35:00,1,0 PC,"GRU->BOG (AV160), BOG->MIA (AV4)"
São Paulo,Miami,1540.88,1015,AV,2026-02-04 07:35:00,2026-02-04 11:25:00,1,0 PC,"GRU->BOG (AV86), BOG->MIA (AV6)"
São Paulo,Miami,1603.38,1190,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,2,0 PC,"GRU->BOG (AV184), BOG->SAL (AV366), SAL->MIA (AV310)"
São Paulo,Miami,1603.38,1290,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,2,0 PC,"GRU->BOG (AV184), BOG->SAL (AV366), SAL->MIA (AV396)"
São Paulo,Miami,1695.77,1780,AV,2026-02-04 07:35:00,2026-02-04 11:25:00,2,0 PC,"GRU->BOG (AV86), BOG->SAL (AV382), SAL->MIA (AV310)"
São Paulo,Miami,1888.69,763,X1,2026-02-04 04:05:00,2026-02-04 10:08:00,1,1 PC,"GRU->PUJ (X11684), PUJ->MIA (X11657)"
São Paulo,Miami,1888.69,806,X1,2026-02-04 23:59:00,2026-02-05 06:14:00,1,1 PC,"GRU->PUJ (X11736), PUJ->MIA (X11675)"
São Paulo,Miami,1910.74,1345,G3,2026-02-04 21:55:00,2026-02-05 01:35:00,1,0 PC,"GRU->BEL (G31542), BEL->MIA (G37744)"
São Paulo,Miami,1988.71,1210,G3,2026-02-04 21:40:00,2026-02-04 23:25:00,1,0 PC,"GRU->BSB (G31418), BSB->MIA (G37748)"
São Paulo,Miami,1993.34,734,CM,2026-02-04 11:10:00,2026-02-04 16:01:00,1,0 PC,"GRU->PTY (CM700), PTY->MIA (CM427)"
São Paulo,Miami,1993.34,736,CM,2026-02-04 05:25:00,2026-02-04 10:12:00,1,0 PC,"GRU->PTY (CM744), PTY->MIA (CM485)"
São Paulo,Miami,1993.34,742,CM,2026-02-04 03:10:00,2026-02-04 07:59:00,1,0 PC,"GRU->PTY (CM702), PTY->MIA (CM334)"
São Paulo,Miami,1993.34,753,CM,2026-02-04 11:10:00,2026-02-04 16:01:00,1,0 PC,"GRU->PTY (CM700), PTY->MIA (CM441)"
São Paulo,Miami,1993.34,871,CM,2026-02-04 03:10:00,2026-02-04 07:59:00,1,0 PC,"GRU->PTY (CM702), PTY->MIA (CM485)"
São Paulo,Miami,1993.34,931,CM,2026-02-04 05:25:00,2026-02-04 10:12:00,1,0 PC,"GRU->PTY (CM744), PTY->MIA (CM240)"
São Paulo,Miami,1997.39,2000,X1,2026-02-04 04:05:00,2026-02-04 10:08:00,1,1 PC,"GRU->PUJ (X11684), PUJ->MIA (X11675)"
São Paulo,Miami,2015.89,1655,G3,2026-02-04 14:15:00,2026-02-04 16:40:00,2,0 PC,"GRU->SSA (G31696), SSA->BSB (G31747), BSB->MIA (G37748)"
São Paulo,Miami,2187.62,806,W1,2026-02-04 23:59:00,2026-02-05 06:14:00,1,1 PC,"GRU->PUJ (W14114), PUJ->MIA (W14095)"
São Paulo,Miami,2249.6,710,G3,2026-02-04 06:00:00,2026-02-04 07:50:00,1,0 PC,"GRU->BSB (G31492), BSB->MIA (G37748)"
São Paulo,Miami,2265.1,698,CM,2026-02-04 01:30:00,2026-02-04 06:19:00,1,0 PC,"GRU->PTY (CM841), PTY->MIA (CM226)"
São Paulo,Miami,2290.92,495,G3,2026-02-04 22:35:00,2026-02-05 04:50:00,0,1 PC,GRU->MIA (G36016)
São Paulo,New York,1486.53,815,AV,2026-02-04 01:20:00,2026-02-04 05:15:00,1,0 PC,"GRU->BOG (AV248), BOG->JFK (AV210)"
São Paulo,New York,1486.53,820,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,1,0 PC,"GRU->BOG (AV184), BOG->JFK (AV20)"
São Paulo,New York,1486.53,1030,AV,2026-02-04 07:35:00,2026-02-04 11:25:00,1,0 PC,"GRU->BOG (AV86), BOG->JFK (AV244)"
São Paulo,New York,1486.53,1290,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,1,0 PC,"GRU->BOG (AV184), BOG->JFK (AV210)"
São Paulo,New York,1486.53,1325,AV,2026-02-04 02:40:00,2026-02-04 06:35:00,1,0 PC,"GRU->BOG (AV160), BOG->JFK (AV244)"
São Paulo,New York,1486.53,1410,AV,2026-02-04 07:35:00,2026-02-04 11:25:00,1,0 PC,"GRU->BOG (AV86), BOG->JFK (AV20)"
São Paulo,New York,1549.03,1330,AV,2026-02-04 17:25:00,2026-02-04 21:25:00,2,0 PC,"GRU->BOG (AV184), BOG->SAL (AV366), SAL->JFK (AV564)"
São Paulo,New York,1549.03,1460,AV,2026-02-04 02:40:00,2026-02-04 06:35:00,2,0 PC,"GRU->BOG (AV160), BOG->SAL (AV382), SAL->JFK (AV570)"
São Paulo,New York,1603.38,1460,AV,2026-02-04 02:40:00,2026-02-04 06:35:00,2,0 PC,"GRU->BOG (AV160), BOG->SAL (AV70), SAL->JFK (AV570)"
São Paulo,New York,2129.13,1239,AC,2026-02-04 21:30:00,2026-02-05 05:55:00,1,0 PC,"GRU->YYZ (AC91), YYZ->JFK (AC8554)"
São Paulo,New York,2129.13,1629,AC,2026-02-04 21:30:00,2026-02-05 05:55:00,1,0 PC,"GRU->YYZ (AC91), YYZ->JFK (AC8556)"
São Paulo,New York,2784.02,590,LA,2026-02-04 22:50:00,2026-02-05 06:40:00,0,0 PC,GRU->JFK (LA8180)
São Paulo,New York,2784.02,605,LA,2026-02-04 21:15:00,2026-02-05 05:20:00,0,0 PC,GRU->JFK (LA6349)
São Paulo,New York,2838.9,909,LA,2026-02-04 22:40:00,2026-02-05 06:35:00,1,0 PC,"GRU->BOS (LA8164), BOS->JFK (B6417)"
São Paulo,New York,2885.79,870,LA,2026-02-04 07:35:00,2026-02-04 10:30:00,1,0 PC,"GRU->LIM (LA8098), LIM->JFK (LA2690)"
São Paulo,New York,2885.79,1085,LA,2026-02-04 04:00:00,2026-02-04 07:00:00,1,0 PC,"GRU->LIM (LA8004), LIM->JFK (LA2690)"
São Paulo,New York,2940.67,855,LA,2026-02-04 21:30:00,2026-02-05 05:25:00,1,0 PC,"GRU->ATL (LA6375), ATL->JFK (LA6396)"
São Paulo,New York,2940.67,880,LA,2026-02-04 22:40:00,2026-02-05 06:35:00,1,0 PC,"GRU->BOS (LA8164), BOS->JFK (LA6182)"
São Paulo,New York,2940.67,1004,LA,2026-02-04 23:45:00,2026-02-05 07:45:00,1,0 PC,"GRU->ATL (LA6346), ATL->JFK (LA6398)"
São Paulo,New York,2940.67,1214,LA,2026-02-04 23:45:00,2026-02-05 07:45:00,1,0 PC,"GRU->ATL (LA6346), ATL->JFK (LA6146)"
São Paulo,New York,2964.87,820,G3,2026-02-04 17:25:00,2026-02-04 21:25:00,1,0 PC,"GRU->BOG (G36605), BOG->JFK (G35814)"
São Paulo,New York,2964.87,1410,G3,2026-02-04 07:35:00,2026-02-04 11:25:00,1,0 PC,"GRU->BOG (G36601), BOG->JFK (G35814)"
São Paulo,New York,3039.57,2185,LA,2026-02-04 21:40:00,2026-02-05 00:20:00,2,0 PC,"GRU->MVD (LA8016), MVD->SCL (LA407), SCL->JFK (LA532)"
São Paulo,New York,3039.57,2185,LA,2026-02-04 21:40:00,2026-02-05 00:20:00,2,0 PC,"GRU->MVD (LA8016), MVD->SCL (LA8118), SCL->JFK (LA532)"
São Paulo,New York,3039.57,2190,LA,2026-02-04 21:40:00,2026-02-05 00:20:00,2,0 PC,"GRU->MVD (LA8016), MVD->LIM (LA2421), LIM->JFK (LA2468)"
Miami,São Paulo,1394.08,1085,H8,2026-02-04 08:45:00,2026-02-04 14:45:00,1,0 PC,"MIA->LIM (H85591), LIM->GRU (H25562)"
Miami,São Paulo,1506.72,500,LA,2026-02-04 19:00:00,2026-02-05 05:20:00,0,0 PC,MIA->GRU (LA8191)
Miami,São Paulo,1506.72,505,LA,2026-02-04 09:35:00,2026-02-04 20:00:00,0,0 PC,MIA->GRU (LA8195)
Miami,São Paulo,1513.65,665,AV,2026-02-04 16:35:00,2026-02-04 20:15:00,1,0 PC,"MIA->BOG (AV7), BOG->GRU (AV85)"
Miami,São Paulo,1513.65,820,AV,2026-02-04 07:00:00,2026-02-04 10:50:00,1,0 PC,"MIA->BOG (AV5), BOG->GRU (AV249)"
Miami,São Paulo,1513.65,880,AV,2026-02-04 13:00:00,2026-02-04 16:45:00,1,0 PC,"MIA->BOG (AV127), BOG->GRU (AV85)"
Miami,São Paulo,1513.65,995,AV,2026-02-04 07:00:00,2026-02-04 10:50:00,1,0 PC,"MIA->BOG (AV5), BOG->GRU (AV161)"
Miami,São Paulo,1513.65,1115,AV,2026-02-04 02:05:00,2026-02-04 05:55:00,1,0 PC,"MIA->BOG (AV9), BOG->GRU (AV249)"
Miami,São Paulo,1513.65,1300,AV,2026-02-04 16:35:00,2026-02-04 20:15:00,1,0 PC,"MIA->BOG (AV7), BOG->GRU (AV185)"
Miami,São Paulo,1513.65,730,AV,2026-02-04 02:05:00,2026-02-04 05:55:00,1,0 PC,"MIA->BOG (AV9), BOG->GRU (AV185)"
Miami,São Paulo,1576.16,1285,AV,2026-02-04 16:50:00,2026-02-04 20:30:00,2,0 PC,"MIA->SAL (AV393), SAL->BOG (AV365), BOG->GRU (AV185)"
Miami,São Paulo,1576.16,1430,AV,2026-02-04 14:25:00,2026-02-04 17:50:00,2,0 PC,"MIA->SAL (AV397), SAL->BOG (AV365), BOG->GRU (AV185)"
Miami,São Paulo,1608.49,740,LA,2026-02-04 15:55:00,2026-02-04 21:40:00,1,0 PC,"MIA->LIM (LA2481), LIM->GRU (LA2418)"
Miami,São Paulo,1608.49,830,LA,2026-02-04 00:40:00,2026-02-04 06:25:00,1,0 PC,"MIA->LIM (LA2699), LIM->GRU (LA8040)"
Miami,São Paulo,1608.49,1050,LA,2026-02-04 00:40:00,2026-02-04 06:25:00,1,0 PC,"MIA->LIM (LA2699), LIM->GRU (LA8099)"
Miami,São Paulo,1608.49,1238,LA,2026-02-04 07:07:00,2026-02-04 10:55:00,1,0 PC,"MIA->BOG (LA4401), BOG->GRU (LA4903)"
Miami,São Paulo,1608.49,1562,LA,2026-02-04 16:28:00,2026-02-04 20:20:00,1,0 PC,"MIA->BOG (LA4403), BOG->GRU (LA4907)"
Miami,São Paulo,1630.51,1670,AV,2026-02-04 16:50:00,2026-02-04 20:30:00,2,0 PC,"MIA->SAL (AV393), SAL->BOG (AV383), BOG->GRU (AV249)"
Miami,São Paulo,1668.55,1800,AV,2026-02-04 14:40:00,2026-02-04 16:30:00,2,0 PC,"MIA->SAL (AV311), SAL->BOG (AV383), BOG->GRU (AV249)"
Miami,São Paulo,1774.54,475,G3,2026-02-04 22:50:00,2026-02-05 08:45:00,0,1 PC,MIA->GRU (G36011)
Miami,São Paulo,1774.54,500,G3,2026-02-04 20:00:00,2026-02-05 06:20:00,0,1 PC,MIA->GRU (G36007)
Miami,São Paulo,1774.54,510,G3,2026-02-04 21:35:00,2026-02-05 08:05:00,0,1 PC,MIA->GRU (G36017)
Miami,São Paulo,1839.76,983,UA,2026-02-04 14:32:00,2026-02-04 17:43:00,1,1 PC,"MIA->EWR (UA2364), EWR->GRU (UA149)"
Miami,São Paulo,1839.76,1115,UA,2026-02-04 13:45:00,2026-02-04 16:25:00,1,1 PC,"MIA->IAD (UA2435), IAD->GRU (UA861)"
Miami,São Paulo,1839.76,1310,UA,2026-02-04 09:05:00,2026-02-04 11:14:00,2,1 PC,"MIA->IAH (UA2385), IAH->EWR (UA1318), EWR->GRU (UA149)"
Miami,New York,184.69,187,F9,2026-02-04 06:00:00,2026-02-04 09:07:00,0,0 PC,MIA->JFK (F94218)
Miami,New York,405.33,586,F9,2026-02-04 14:57:00,2026-02-04 17:10:00,1,0 PC,"MIA->ATL (F92271), ATL->JFK (F94818)"
New York,São Paulo,1676.71,850,G3,2026-02-04 06:30:00,2026-02-04 12:30:00,1,0 PC,"JFK->BOG (G35815), BOG->GRU (G36606)"
New York,São Paulo,1921.29,799,AV,2026-02-04 14:21:00,2026-02-04 20:25:00,1,0 PC,"JFK->BOG (AV211), BOG->GRU (AV85)"
New York,São Paulo,1921.29,820,AV,2026-02-04 00:35:00,2026-02-04 06:15:00,1,0 PC,"JFK->BOG (AV245), BOG->GRU (AV185)"
New York,São Paulo,1921.29,850,AV,2026-02-04 06:30:00,2026-02-04 12:30:00,1,0 PC,"JFK->BOG (AV21), BOG->GRU (AV249)"
New York,São Paulo,1921.29,1025,AV,2026-02-04 06:30:00,2026-02-04 12:30:00,1,0 PC,"JFK->BOG (AV21), BOG->GRU (AV161)"
New York,São Paulo,1921.29,1205,AV,2026-02-04 00:35:00,2026-02-04 06:15:00,1,0 PC,"JFK->BOG (AV245), BOG->GRU (AV249)"
New York,São Paulo,1921.29,1434,AV,2026-02-04 14:21:00,2026-02-04 20:25:00,1,0 PC,"JFK->BOG (AV211), BOG->GRU (AV185)"
New York,São Paulo,1921.29,1025,G3,2026-02-04 06:30:00,2026-02-04 12:30:00,1,0 PC,"JFK->BOG (G35815), BOG->GRU (G35852)"
New York,São Paulo,1921.29,1434,AV,2026-02-04 14:21:00,2026-02-04 20:25:00,1,0 PC,"JFK->BOG (AV211), BOG->GRU (G36604)"
New York,São Paulo,1959.33,1075,B6,2026-02-04 09:45:00,2026-02-04 12:39:00,2,1 PC,"JFK->MCO (B6883), MCO->BOG (AV219), BOG->GRU (AV85)"
New York,São Paulo,1959.33,1300,B6,2026-02-04 06:00:00,2026-02-04 08:48:00,2,1 PC,"JFK->MCO (B6583), MCO->BOG (AV29), BOG->GRU (AV85)"
New York,São Paulo,1959.33,1710,B6,2026-02-04 09:45:00,2026-02-04 12:39:00,2,1 PC,"JFK->MCO (B6883), MCO->BOG (AV219), BOG->GRU (AV185)"
New York,São Paulo,1983.79,1065,AV,2026-02-04 05:50:00,2026-02-04 09:55:00,2,0 PC,"JFK->SAL (AV659), SAL->BOG (AV71), BOG->GRU (AV161)"
New York,São Paulo,1983.79,1090,AV,2026-02-04 02:30:00,2026-02-04 06:30:00,2,0 PC,"JFK->SAL (AV571), SAL->BOG (AV383), BOG->GRU (AV249)"
New York,São Paulo,1983.79,1265,AV,2026-02-04 02:30:00,2026-02-04 06:30:00,2,0 PC,"JFK->SAL (AV571), SAL->BOG (AV71), BOG->GRU (AV161)"
New York,São Paulo,1983.79,1265,AV,2026-02-04 02:30:00,2026-02-04 06:30:00,2,0 PC,"JFK->SAL (AV571), SAL->BOG (AV383), BOG->GRU (AV161)"
New York,São Paulo,3150.88,850,AC,2026-02-04 16:50:00,2026-02-04 18:35:00,1,0 PC,"JFK->YYZ (AC8555), YYZ->GRU (AC90)"
New York,São Paulo,3150.88,1275,AC,2026-02-04 09:45:00,2026-02-04 11:30:00,1,0 PC,"JFK->YYZ (AC8553), YYZ->GRU (AC90)"
New York,São Paulo,3258.32,820,G3,2026-02-04 00:35:00,2026-02-04 06:15:00,1,0 PC,"JFK->BOG (G35817), BOG->GRU (G36604)"
New York,São Paulo,3258.32,1205,G3,2026-02-04 00:35:00,2026-02-04 06:15:00,1,0 PC,"JFK->BOG (G35817), BOG->GRU (G36606)"
New York,São Paulo,3258.32,1435,G3,2026-02-04 14:20:00,2026-02-04 20:25:00,1,0 PC,"JFK->BOG (G35813), BOG->GRU (G36604)"
New York,São Paulo,3381.83,570,LA,2026-02-04 19:25:00,2026-02-05 06:55:00,0,0 PC,JFK->GRU (LA8181)
New York,São Paulo,3381.83,605,LA,2026-02-04 21:50:00,2026-02-05 09:55:00,0,0 PC,JFK->GRU (LA6350)
New York,São Paulo,3406.28,1196,B6,2026-02-04 22:59:00,2026-02-05 00:16:00,1,0 PC,"JFK->BOS (B61118), BOS->GRU (LA8165)"
New York,São Paulo,3508.05,800,LA,2026-02-04 17:30:00,2026-02-04 20:36:00,1,0 PC,"JFK->MCO (LA6657), MCO->GRU (LA8127)"
New York,Miami,184.69,199,F9,2026-02-04 10:02:00,2026-02-04 13:21:00,0,0 PC,JFK->MIA (F91809)
New York,Miami,374.9,397,F9,2026-02-04 06:10:00,2026-02-04 09:13:00,1,0 PC,"JFK->ATL (F94817), ATL->MIA (F94406)"
